Sr. no.,question__description,answer,gpt-5.2,,claude-sonnet-4.5,,gemini-2.5-flash,,deepseek-v3.2,,qwen3-coder,,gpt-oss-120b,
80,"Write a python script which will -
<li>Take a <code><b>name</b></code> from the user as <b>input</b></li>
 <li><b>Capitalize</b> the input name and print it. 
<br/>
<br/>
<b>For example :-</b>
<br/>
<pre>
For given input name -
<code> Gabbar </code>

The output should be - 
<code> GABBAR </code>
</pre>

<b>Note :-</b>
<pre>
<i>
While using the input function, please use an <code>empty prompt</code>.
</i>
</pre>
<iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/R7iUjSECqOg"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>","try:
    a=int(input(""Enter a:""))
    b=int(input(""Enter b:""))
    c=a/b
    Print (""a/b = % d""%c)
   # Using Exception with except statement.If we print(Exception)it will return exception class
   Except Exception:
    Print (""can't divide by zero"")
    Print(Exception)
   else:
    Print("" Hii I am else block"")
   Output:
    Enter a:10
    Enter b:0
    Can't divide by zero
    divide by zero
    ",J,J,J,J,J,J,J,J,J,J,C,J
81,"Write a function called <code>countb(s)</code> that accepts a string as an argument.
<br><br>
The function should count the number of occurrence of letter 'b' and return the count.
<br />
Note, the count should be case sensitive, means only lower case 'b' is counted.
<br><br>
Example
<b></b>
<pre>
Input to the function
<code>countb('Bye bye')</code>
Return value by the function
1
</pre>
<b>Note: Please write a function and return the desired result. DO NOT USE PRINT or STANDARD OUTPUT</b>","vowels = ""aeiou""

#getting number of vocals for each element in string
def countvocals(s):
    count = 0
    for i in s:
        if i in vowels:
            count += 1
    return count

#sorting list
def sortlist(x,y):
    zipped = zip(x,y)
    zipped=[x for x in zipped]
    zipped.sort(key = lambda x:x[1])
    return [a for (a,b) in zipped]

a = [ 'Bye-bye']
b=[]
for i in a:
    b.append(countvocals(i))

print(sortlist(a,b))",J,J,J,J,J,J,J,J,J,J,J,J
82,"<p>Write a function called <code>getlist(s)</code> that accepts a string as an argument. <br /><br />The string should be split at semi-colons. The function should return the list of the strings. <br /><br />Example</p>
<pre>Input to the function
<code>getlist('Hello;World')</code> <br />Return value by the function <br />['Hello', 'World'] <br />Input to the function <code><br />getlist('a b c;d')</code> <br />Return value by the function ['a b c', 'd']</pre>
<p><strong>Note: Please write a function and return the desired result. DO NOT USE PRINT or STANDARD OUTPUT</strong></p>","def getlist(str):
  s=""""
  lst=[]
  for i in str:
    if i!=';':
      s=s+i
    else:
      lst.append(s)
      s=""""
    lst.append(s)
  return(lst)",F,F,F,F,J,J,D,D,F,F,F,F
83,"Write a function called <code>sub_word1(a, b)</code> that accepts two words as an argument.
<br><br>
The function should check whether the second word contains all the letters of the first word or not.
<br />
The function should return a boolean True if the second word contains all the letters of the first word else False
<br><br>
Example
<b></b>
<pre>
Input to the function
<code>sub_word1('goods','good')</code>
Return value by the function
False
Input to the function
<code>sub_word1('mad','dam')</code>
Return value by the function
True
Input to the function
<code>sub_word1('dog','good')</code>
Return value by the function
True
Input to the function
<code>sub_word1('dog','goods')</code>
Return value by the function
True
</pre>
<b>Note: Please write a function and return the desired result. DO NOT USE PRINT or STANDARD OUTPUT</b>","def sub_word1(a,b):
  status=True
  for c in b:
    if c not in a:
      status=False
      break
  for c1 in a:
    if c1 not in b:
      status=False
      break
  if status==True:
    return True
  else:
    return False",G,J,J,J,J,J,D,D,D,D,E,E
84,"<p>Write a function called <code>remove_underscores(s)</code> that accepts a string as an argument. <br /><br />The function should remove all the UNWANTED underscores! So the underscores at the start and end are completely removed. If there is an underscore between words then it should be kept as it is. If there are multiple consecutive underscores between words then it should be replaced by one underscore only.</p>
<p><br />If an underscore after a space or followed by a space, then the underscore should be removed. <br />The function should return the modified new string. <br /><br />Example</p>
<pre>Input to the function
<code>remove_underscores('__Hello__Hi!__')<br /></code>Return value by the function<br />'Hello_Hi!'<br />Input to the function <br /><code>remove_underscores('__Hello_ Hi!__')</code> <br />Return value by the function <br />'Hello Hi!'</pre>
<p><strong>Note: Please write a function and return the desired result. DO NOT USE PRINT or STANDARD OUTPUT</strong></p>","def remove_underscores(s):
    s=s.strip(""_"")
    s2=""""
    for i in range(len(s)):
        c=s[i]
        if c =="""" and s[i+1]=="""":
            continue
        s2=s2+c
    s3=''
    for i in range(len(s2)-1):
        if s2[i]=='' and (s2[i+1] == '' or s2[i+1] == ' ' or s2[i-1] == ' ') :
            i = i+1
        else:
            s3 += s2[i]
    #if s2[len(s2)-1] != '_':
    s3 += s2[-1]
    return(s3)
p=remove_underscores('__Hello__Hi!__')",E,E,E,E,J,J,D,D,D,D,E,E
85,"<p>Write a function that takes a space separated string as an argument and returns the (string) word that occurs the maximum number of times. If more than one word occurs the same (maximum) number of times, return a set containing these words.
</p>
<p>Example:
<tt>find_max_words(""the test the"")</tt> returns <tt>""the""</tt>
</p>

<p>Example:
<tt>find_max_words(""the test the test"")</tt> returns <tt>{""the"", ""test""}</tt>
</p>","def find_max_words(s):
    import collections
    x=collections.Counter(s.split("" ""))
    m=max(x.values())
    y=x.most_common(m)
    res = ([str(a) for (a, b) in y if b == m])
    return(set(res))",I,I,B,D,G,D,D,D,D,D,D,D
86,"<p>Write a function <tt>my_matrix_multiply</tt> that takes two matrix arguments \( A \) and \( B \) and returns the matrix product. Your function should</p>
<ul>
<li>interpret lists of numbers as row matrices</li>
<li>Return the product matrix if the matrices can be multipled</li>
<li>Return <tt>False</tt> if the matrices cannot be multiplied</li>
</ul>

<p>Example:
<tt>my_matrix_multiply([1, 2], [3, 4, 5, 6])</tt> returns <tt>False</tt>.
</p>

<p>Examples:
<ul><li><tt>my_matrix_multiply([1, 2], [3, 4, 5, 6])</tt> returns <tt>False</tt>.</li>
<li><tt>my_matrix_multiply([[1, 2], [2, 1]], [[1, 2, 3], [4, -4, 6]])</tt> returns <tt>[[ 9 -6 15], [ 6  0 12]]</tt>.
</ul></p>","import numpy as np
def my_matrix_multiply(a, b):
    M1= np.array(a)
    M2=np.array(b)

    if M1.shape[0] != M2.shape[0]:
        return False
    else:
        return M1@M2",E,E,E,E,E,E,D,D,E,E,E,E
87,"<p>Write a function that takes in a string argument of the following type:</p>
<pre> 1.920000e-03  1.845156e+02  1.845129e+02  2.700181e+01
 1.940000e-03  1.861950e+02  1.861922e+02  2.753235e+01
 1.960000e-03  1.878671e+02  1.878643e+02  2.806721e+01
 1.980000e-03  1.895317e+02  1.895289e+02  2.860637e+01
 2.000000e-03  1.911889e+02  1.911860e+02  2.914979e+01
...
</pre>
<p>This function should return the (floating point) sum of the second, third and fourth columns.</p>","import numpy as np
def sum_last_three_cols(data):
    splitedList=data.split()
    listWithFloatValue=[float(splitedList[i]) for i in range(len(splitedList))]
    npArray=np.array(listWithFloatValue).reshape(int(len(listWithFloatValue)/4), 4)
    sumOfFloats=npArray.sum(axis=0)
    return sum(sumOfFloats[1:])",N,N,N,N,D,D,D,J,D,D,N,N
88,"Write a Python function called <tt>add_list_numbers</tt> that takes a single argument, which is a list of numbers (floats and/or ints) and returns the sum of all numbers.","def add_list_numbers(l):
    x = 0
    for i in l :
       x =  x + i
    return x",N,N,N,N,N,N,N,N,N,N,N,N
89,"<p>Students' scores in Mathematics and Physics are stored within two-size tuples that are within a dictionary, whose key is the roll number. The first element of the tuple is the Mathematics score, and the second element is the Physics score. Write a function that accepts such a dictionary and returns the students' roll numbers as a list sorted in descending order of their Physics scores. You may assume that all scores are distinct.</p>

<p>Examples:</p>
<pre>
>>> student_data = {
    'rollno1' : (14.94, 31.44),
    'rollno2' : (17.01, 23.98),
    'rollno3' : (53.35, 10.94),
    'rollno4' : (21.62, 72.72),
}
>>> sort_students_by_physics_score(student_data)
['rollno4', 'rollno1', 'rollno2', 'rollno3']

>>> student_data = {
    'rollno1' : (78.58, 70.00),
    'rollno2' : (76.46, 23.38),
    'rollno3' : (15.17, 87.27),
    'rollno4' : (12.72, 18.75),
}
>>> sort_students_by_physics_score(student_data)
['rollno3', 'rollno1', 'rollno2', 'rollno4']
</pre>","import pandas as pd
def sort_students_by_physics_score(student_data):
    
    df= pd.DataFrame.from_dict(student_data,orient='index',
                           columns=['Maths', 'Physics'])
    df.sort_values(by =['Physics'],inplace=True, ascending=False)
    x=list(df.index)
    return (x)",N,N,N,N,N,N,D,D,N,N,N,N
90,"<p>A <em>perfect number</em> is one for which the sum of its positive divisors (excluding itself) is equal to the number itself. For example \( 6 \) has the divisors \( 1, 2 \) and \( 3 \), and \( 6 = 1 + 2 + 3 \), and thus, is a perfect number. Similarly, \( 28 \) has factors \( 1, 2, 4, 7, 14 \), and \( 1 + 2 + 4 + 7 + 14 = 28 \), making it a perfect number.</p>
<p>Write a function <tt>is_perfect_number</tt> that takes a single integer argument and returns <tt>True</tt> if the number is a perfect number, and <tt>False</tt> otherwise</p>
<p>.</p>
<pre>&gt;&gt;&gt; is_perfect_number(3)
False
&gt;&gt;&gt; is_perfect_number(6)
True
&gt;&gt;&gt; is_perfect_number(25)
False
&gt;&gt;&gt; is_perfect_number(28)
True
</pre>","def is_perfect_number(N):
     # Your code here
    lst=[]
    for i in range(1,int(N/2)+1):
        print(i)
        if N % i == 0 :
            lst.append(i)
    if sum(lst) == N:
        print(f'is_perfect_number:','True')
        answer='True'
    else:
        print(f'is_perfect_number:','False')
        answer='False'
    return(answer)
  ",I,I,C,C,B,B,B,B,B,D,C,C
91,"<p>Write a function called <tt>unique_numbers_sorted</tt></p> that takes a list of integers as argument and returns a list containing the unique integers sorted in ascending order.</p>

<p>Example:</p>
<pre>
>>> unique_numbers_sorted([3, 1, 4, 5, 0, 8, 2, 5, 1, 9, 4, 9, 1, 1, 2, 5, 9, 5])
[0, 1, 2, 3, 4, 5, 8, 9]

>>> unique_numbers_sorted([20, 90, 80, 80, 60, 30, 90, 50, 0, 40, 10, 80, 60, 10, 40, 50, 30, 0])
[0, 10, 20, 30, 40, 50, 60, 80, 90]

>>> unique_numbers_sorted([-1, 2, -3, -4, -5, -4, 3, 2, -1])
[-5, -4, -3, -1, 2, 3]
</pre>","import pandas as pd
def unique_numbers_sorted(l):
    uni = pd.unique(pd.Series(l).sort_values())
    return uni",B,I,C,B,B,I,J,J,D,D,B,B
92,"<p>The function <tt>string_lengths</tt> takes a single argument <tt>sl</tt>that is a list of strings. It returns a list of the same length that contains the length of each string in <tt>sl</tt>.</p>

<p>Examples:</p>

<pre>
In: string_lengths(['hello', 'world', 'thanks'])
Out: [5, 5, 6]

In: string_lengths(['abcd'])
Out: [4]

In: string_lengths(['a', 'bb', 'ccc'])
Out: [1, 2, 3]
</pre>","def string_lengths(sl):
    l = []
    for i in sl:
        l.append(len(i))
    return l",N,N,N,N,N,N,N,N,N,N,N,N
93,"<p>Write a function <code>word_frequency(s,n)</code> to find the most frequently occurring words in a string, where <code>s</code> is a string and <code>n</code> is a positive integer. The function must return a dictionary of the top <code>n</code> most frequent words and the number of occurrences.<br />If two words have the same frequency of occurrence, both of them must be printed in alphabetical order. In this case,<strong> BOTH</strong> the words are considered to be the same rank. <br />For example if: <br /><code>s = ""the the the quick quick brown brown brown brown fox jumps jumps over"" </code> <br />Then this should be the output: <br /><code>word_frequency(s, 1)</code> should return <code>[(""brown"", 4)]</code> <br /><code>word_frequency(input, 2)</code> should return <code>[(""brown"", 4), (""the"",3)]</code><br /><code>word_frequency(example, 4)</code> should return <br /><code>[(""brown"", 4), (""the"", 3), (""jumps"", 2), (""quick"", 2), (""fox"", 1), (""over"", 1)]</code><br /><br /><em>Note: Case is significant for the question, so treat ""Brown"" as different from ""brown"". The string will not contain any punctuation characters.</em></p>","def word_frequency(s,n):
  s = s.lower().replace(',' , '').replace('.' , '').replace('!' , '').replace('?' , '').replace('-' , '')
  words = s.split()
  word_count = {}
  for word in words:
    if word in word_count:
      word_count[word] += 1
    else:
      word_count[word] = 1
  sorted_words = sorted(word_count.items(), key = lambda x: (-x[1], x[0]))
  top_n = {}
  for i in range(n):
    if i < len(sorted_words):
      top_n[sorted_words[i][0]] = sorted_words[i][1]
  return top_n
    
    
    
    ",J,J,C,J,I,B,J,J,D,J,B,E
94,"<p>Write a function called <code>hasprime(s)</code> that accepts a non-empty integer list as an argument. <br /><br />The function should return a boolean True if the list has a number that is a prime number else False. <br /><br />Example</p>
<pre>Input to the function
<code>hasprime([3, 5, 4])</code> Return value by the function True</pre>
<p><strong>Note: Please write a function and return the desired result. DO NOT USE PRINT or STANDARD OUTPUT</strong></p>","def hasprime(s):
  for n in s:
    if n%2 != 0 and n%3 !=0:
      return True
    else:
      return False
  ",F,F,F,E,E,E,J,J,E,E,F,F
95,"<p>Write a function <code>sum_odd(data)</code>. <code>data</code> is a list of non-negative integers. The function should return the sum of odd values on the list. Note that the odd values are summed, not the values at odd indices.&nbsp;</p>","def sum_odd(data):
  n=len(data)
  sum=0
  if {n<0}
  	if data[n]%2=1
  		sum=sum+data[n]
  	else break
    n=n-1
  else break
  return sum
  	",G,J,J,J,J,J,G,G,E,E,F,H
96,"<p>You are given a matrix (a numpy array) of shape (m, n). Write a function called <code>sqr(x)</code> which returns the sum of the squares of all the elements of the matrix.</p>","def sqr(x):
    m = len(x)
    n= len(x[0])
    summation = 0
    for i in range(m):
        for j in range(n):
            summation += x[i][j] **2   
    return summation ",N,N,N,N,A,N,I,J,H,H,N,N
97,"<p>There is a tree. Fallen leaves from the tree lie on the ground. You are trying to estimate the distribution of the leaves as a function of the distance from the tree</p>
<p>Using a drone with augmented reality technology, you have computed the leaves' coordinates on the ground. Now, you have two arrays <code>x</code> and <code>y</code> such that&nbsp;<code>(x[i], y[i])</code> represents the coordinates of the i'th leaf. The tree is at the origin.&nbsp;</p>
<p>Given <code>x</code> and <code>y</code>, write a function <code>leaves_within(x,y,r)</code> that returns the number of leaves within (strictly less than) a distance of r from the tree.</p>
<p>&nbsp;</p>","def leaves_within(x, y, r):
  r_sqr = r*r
  num = 0
  for i in x:
    for j in y:
      circle = (x[i]*x[i]) + (y[j]*y[j])
      if circle < r_sqr:
        num = num +1
        
  return num",J,H,J,J,G,G,D,G,H,H,C,G
98,"<p>Write a function <code>bin(a,n)</code> which bins the numbers from the given array or list of integers <code>a</code> into <code>n</code> bins. The function should return a list of bins, as given in the examples below. Each bin is, in turn, a list of numbers. In other words, the function <code>bin(a,n)</code> returns a list of lists.</p>
<p>Example1</p>
<p><code>bin(numpy.arange(5), 3)</code> should return <code>[[0, 1], [2], [3, 4]]</code>.</p>
<p>Note the arrangements of the bins, i.e. the bin at index 0 contains the elements of the first bin.&nbsp;</p>
<p>Example2</p>
<p>In case <code>bin(numpy.arange(7), 3)</code> the bins would be&nbsp;</p>
<p><code>[[0, 1], [2, 3], [4, 5, 6]]</code></p>
<p>where elements in the range [0, 2) go to bin 0, [2, 4) go to bin 1, and [4, 6] go to bin 2.&nbsp;&nbsp;</p>","def bin(a,n):
  k = len(a)
  l = []
  m = []
  int_size = a[k-1]/n
  for j in range(n-1):
    for i in range(k):
      if a[i] < int_size:
        l.append(a)
    m[j] = l
    int_size = int_size*(j+1)
  return m
      ",H,H,H,H,N,J,I,D,J,D,H,H
99,"<p>Given a 2D numpy array and two column indices <code>i</code> and <code>j</code>,&nbsp; write a function <code>swap_col(arr,i,j)</code> that returns the numpy array with swapped columns <code>i</code> and <code>j</code>.</p>
<p>For example,</p>
<p>Original array:</p>
<p><code>
[[7 3 1 4]
<br />&nbsp;[3 6 5 1]
<br />&nbsp;[1 8 7 5]]</code></p>
<p>Array after swapping columns <code>i=0</code> and <code>j=2</code>:</p>
<p><code>
[[1 3 7 4]<br />&nbsp;[5 6 3 1]<br />&nbsp;[7 8 1 5]]</code><code></code></p>","import numpy as np
def swap_col(arr, i, j):
  arr = np.asarray(arr)
  for m in range(arr.shape(0)):
      a = arr[m][i]
      arr[m][i]=arr[m][j]
      arr[m][j]=a
  return arr
                   ",G,G,B,H,G,G,H,D,D,D,G,G
100,"<p>Write a function <strong>divide</strong> which takes two integer arguments dividend and divisor.</p>
<p>If divisor is zero then raise ZeroDivisionError.<br />If the quotient is negative than raise ValueError.<br />If the quotient is not an integer than raise TypeError.<br />Else returns the quotient.</p>","def divide(dividend,divisor):
  if (divisor == 0):
    Exception.raiseException(""ZeroDivisionError"")
  elif (int(dividend/divisor) != 1):
    Exception.raiseException(""TypeError"")
  else:
    return dividend/divisor",J,E,E,E,J,J,J,J,D,E,E,I
